id,ime_ekipe,liga
663,Liverpool,1
676,Manchester City,1
682,Leicester City,1
661,Chelsea,1
662,Manchester United,1
680,Wolverhampton Wanderers,1
687,Sheffield United,1
675,Tottenham Hotspur,1
660,Arsenal,1
698,Burnley,1
679,Crystal Palace,1
674,Everton,1
664,Newcastle United,1
670,Southampton,1
703,Brighton & Hove Albion,1
684,West Ham United,1
696,Watford,1
711,AFC Bournemouth,1
665,Aston Villa,1
677,Norwich City,1
1242,Juventus,2
1245,Lazio,2
1244,Internazionale,2
1255,Atalanta,2
1241,Roma,2
1270,Napoli,2
1240,Milan,2
1277,Hellas Verona,2
1243,Parma,2
1249,Bologna,2
5681,Sassuolo,2
1256,Cagliari,2
1259,Fiorentina,2
1246,Udinese,2
1268,Torino,2
1247,Sampdoria,2
1276,Genoa,2
1251,Lecce,2
1287,SPAL,2
1250,Brescia,2
961,Bayern Munich,3
964,Borussia Dortmund,3
13410,RB Leipzig,3
971,Borussia M'gladbach,3
963,Bayer Leverkusen,3
966,Schalke 04,3
968,Wolfsburg,3
970,Freiburg,3
1001,Hoffenheim,3
980,Köln,3
1026,Union Berlin,3
979,Eintracht Frankfurt,3
974,Hertha BSC,3
1000,Augsburg,3
977,Mainz 05,3
1029,Fortuna Dusseldorf,3
960,Werder Bremen,3
1013,Paderborn,3
2017,Barcelona,4
2016,Real Madrid,4
2021,Sevilla,4
2028,Real Sociedad,4
2039,Getafe,4
2020,Atletico Madrid,4
2015,Valencia,4
2023,Villarreal,4
7072,Granada,4
2019,Athletic Club,4
2022,Osasuna,4
2025,Real Betis,4
2036,Levante,4
2037,Deportivo Alavés,4
2031,Real Valladolid,4
2042,Eibar,4
2033,Celta Vigo,4
2027,Mallorca,4
2053,Leganes,4
2032,Espanyol,4
886,PSG,5
890,Olympique Marseille,5
893,Rennes,5
895,Lille,5
921,Reims,5
894,Nice,5
884,Olympique Lyonnais,5
906,Montpellier,5
885,Monaco,5
918,Angers SCO,5
898,Strasbourg,5
891,Bordeaux,5
889,Nantes,5
922,Brest,5
896,Metz,5
923,Dijon,5
901,Saint-Etienne,5
932,Nîmes,5
908,Amiens SC,5
899,Toulouse,5
